G,Date,Age,Opp,W/L,At,Name,Tm,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc_y,BPM
1,2022-10-19,23-030,CLE,W (+3),,Precious Achiuwa  ,TOR,0.0,17.933333333333334,4.0,11.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,10.0,-4.0,0.421,0.409,6.1,30.6,16.9,0.0,0.0,0.0,0.0,28.1,95.0,115.0,5.0,-7.2
2,2022-10-21,23-032,BRK,L (-4),@,Precious Achiuwa  ,TOR,0.0,17.483333333333334,1.0,6.0,0.0,1.0,2.0,3.0,0.0,6.0,6.0,0.0,0.0,0.0,3.0,2.0,4.0,-8.0,0.273,0.167,0.0,35.8,19.4,0.0,0.0,0.0,29.1,27.0,41.0,114.0,-2.2,-23.2
3,2022-10-22,23-033,MIA,L (-3),@,Precious Achiuwa  ,TOR,0.0,33.53333333333333,5.0,9.0,2.0,5.0,6.0,7.0,3.0,8.0,11.0,1.0,0.0,0.0,1.0,1.0,18.0,16.0,0.745,0.667,9.3,32.7,19.4,4.8,0.0,0.0,7.6,17.8,146.0,122.0,17.1,3.0
4,2022-10-24,23-035,MIA,W (+8),@,Precious Achiuwa  ,TOR,0.0,33.71666666666667,5.0,12.0,0.0,1.0,0.0,1.0,4.0,18.0,22.0,2.0,0.0,1.0,0.0,2.0,10.0,10.0,0.402,0.417,11.9,51.3,32.0,10.6,0.0,2.9,0.0,16.6,103.0,86.0,12.7,1.2
5,2022-10-26,23-037,PHI,W (+10),,Precious Achiuwa  ,TOR,0.0,21.3,3.0,7.0,1.0,3.0,0.0,0.0,3.0,3.0,6.0,4.0,0.0,0.0,2.0,3.0,7.0,14.0,0.5,0.5,18.8,18.3,18.5,23.0,0.0,0.0,22.2,20.5,113.0,123.0,5.9,-4.4
6,2022-10-28,23-039,PHI,L (-22),,Precious Achiuwa  ,TOR,0.0,14.95,0.0,6.0,0.0,3.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,-10.0,0.0,0.0,13.1,8.7,11.2,9.7,0.0,7.3,25.0,22.6,21.0,122.0,-3.5,-23.2
7,2022-10-31,23-042,ATL,W (+30),,Precious Achiuwa  ,TOR,0.0,17.75,2.0,3.0,0.0,1.0,6.0,6.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,10.0,11.0,0.887,0.667,0.0,20.8,10.0,6.7,0.0,0.0,15.1,15.5,161.0,115.0,8.9,0.5
8,2022-11-02,23-044,SAS,W (+43),@,Precious Achiuwa  ,TOR,0.0,21.0,4.0,9.0,0.0,3.0,4.0,4.0,0.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,12.0,6.0,0.558,0.444,0.0,25.4,14.3,4.8,2.1,4.5,8.5,21.7,110.0,88.0,10.1,-2.9
9,2022-11-04,23-046,DAL,L (-1),@,Precious Achiuwa  ,TOR,0.0,26.6,4.0,9.0,1.0,3.0,6.0,6.0,3.0,5.0,8.0,2.0,0.0,1.0,2.0,1.0,15.0,2.0,0.644,0.5,12.6,28.2,19.2,11.4,0.0,4.2,14.7,20.9,135.0,117.0,13.6,4.2
10,2022-11-06,23-048,CHI,W (+9),,Precious Achiuwa  ,TOR,0.0,14.183333333333334,2.0,6.0,0.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,5.0,-20.0,0.363,0.333,18.8,7.7,13.8,18.2,3.6,6.5,12.7,22.1,99.0,110.0,4.5,-5.4
